person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
66,40000,RENT,2.0,EDUCATION,E,7000,15.68,1,0.17,Y,29
22,35325,RENT,2.0,EDUCATION,D,6500,15.95,1,0.18,N,3
45,37000,RENT,0.0,HOMEIMPROVEMENT,B,20000,11.71,1,0.54,N,15
23,19000,RENT,2.0,EDUCATION,C,6000,10.59,1,0.32,N,2
23,61000,MORTGAGE,,PERSONAL,A,10000,6.99,0,0.16,N,2
23,124000,RENT,2.0,PERSONAL,C,10000,14.27,0,0.08,N,3
21,27120,RENT,0.0,EDUCATION,A,8500,8.9,1,0.31,N,2
29,44000,RENT,14.0,EDUCATION,B,16000,,1,0.36,N,8
32,67150,MORTGAGE,4.0,MEDICAL,D,13000,16.0,1,0.16,Y,6
22,42000,RENT,1.0,EDUCATION,C,10000,13.49,0,0.24,Y,4
32,107004,MORTGAGE,6.0,VENTURE,B,4200,11.71,0,0.04,N,8
23,30000,RENT,0.0,EDUCATION,C,8400,14.65,0,0.28,N,3
23,39000,RENT,7.0,MEDICAL,B,12000,10.83,1,0.31,N,3
22,12600,RENT,2.0,PERSONAL,B,4000,10.37,1,0.32,N,4
45,64000,MORTGAGE,8.0,PERSONAL,A,4800,8.9,1,0.07,N,17
26,19200,OWN,0.0,EDUCATION,B,9250,,1,0.48,N,2
24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4
28,33000,RENT,12.0,DEBTCONSOLIDATION,C,8000,14.65,1,0.24,Y,9
26,238000,MORTGAGE,2.0,EDUCATION,B,25000,9.25,1,0.11,N,4
39,80000,MORTGAGE,18.0,MEDICAL,C,5600,13.43,0,0.07,N,17
23,108000,RENT,4.0,VENTURE,B,4300,11.83,0,0.04,N,4
28,48876,RENT,5.0,PERSONAL,D,3000,14.59,0,0.06,N,8
27,32000,MORTGAGE,0.0,VENTURE,A,9850,8.94,0,0.31,N,5
21,58800,MORTGAGE,5.0,EDUCATION,D,25000,14.09,0,0.43,N,2
24,70000,MORTGAGE,2.0,PERSONAL,A,17000,7.51,0,0.24,N,4
26,45760,RENT,8.0,DEBTCONSOLIDATION,C,11500,11.78,0,0.25,N,4
22,44004,MORTGAGE,0.0,DEBTCONSOLIDATION,E,11000,15.68,1,0.25,N,4
28,103800,MORTGAGE,,MEDICAL,C,10000,14.27,0,0.1,Y,8
24,92000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,22000,10.99,0,0.24,N,4
26,145000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,20000,10.25,1,0.14,N,2
30,62000,MORTGAGE,1.0,VENTURE,A,15000,6.03,0,0.24,N,10
29,40000,RENT,1.0,DEBTCONSOLIDATION,A,3600,8.59,0,0.09,N,5
22,45996,RENT,6.0,EDUCATION,B,2000,11.36,0,0.04,N,4
25,70000,MORTGAGE,6.0,HOMEIMPROVEMENT,B,12000,10.37,0,0.17,N,4
28,60000,RENT,8.0,EDUCATION,A,10000,8.9,0,0.17,N,9
24,21600,RENT,0.0,EDUCATION,E,2600,19.29,1,0.12,Y,4
31,70000,RENT,0.0,PERSONAL,C,10000,,0,0.14,Y,8
22,63000,RENT,6.0,HOMEIMPROVEMENT,B,4000,11.12,1,0.06,N,2
22,12000,RENT,0.0,PERSONAL,C,1000,13.57,1,0.08,N,3
22,58896,MORTGAGE,6.0,EDUCATION,A,9500,6.76,0,0.16,N,4
25,39996,MORTGAGE,9.0,DEBTCONSOLIDATION,D,1500,,1,0.04,Y,3
21,18000,RENT,,VENTURE,C,2400,14.72,0,0.13,N,2
27,47000,RENT,3.0,VENTURE,D,25000,15.7,1,0.53,Y,10
40,100300,MORTGAGE,2.0,MEDICAL,D,25000,14.83,1,0.21,N,16
24,144000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,14700,7.66,0,0.1,N,3
24,51000,RENT,3.0,PERSONAL,A,12000,7.88,1,0.24,N,3
24,60000,RENT,4.0,VENTURE,A,15000,6.17,0,0.25,N,3
36,45000,RENT,4.0,MEDICAL,B,20000,11.36,1,0.44,N,14
31,24000,RENT,0.0,DEBTCONSOLIDATION,B,5000,10.99,1,0.21,N,6
25,44000,RENT,9.0,MEDICAL,C,8500,14.27,1,0.19,N,4
22,37200,RENT,6.0,DEBTCONSOLIDATION,A,7000,7.9,1,0.19,N,4
23,34800,RENT,1.0,HOMEIMPROVEMENT,B,5000,10.99,1,0.14,N,2
31,96000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9600,5.99,0,0.1,N,10
24,45000,MORTGAGE,0.0,EDUCATION,C,10625,14.27,1,0.24,N,4
22,44004,MORTGAGE,3.0,EDUCATION,D,9000,14.11,1,0.2,N,4
24,88000,MORTGAGE,8.0,HOMEIMPROVEMENT,D,25000,14.54,0,0.28,N,2
34,50000,RENT,4.0,PERSONAL,B,18000,8.88,1,0.36,N,9
24,64000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,16000,14.65,1,0.25,N,2
32,47000,OWN,8.0,VENTURE,A,6000,8.9,0,0.13,N,5
29,59354,MORTGAGE,5.0,MEDICAL,D,9600,13.67,1,0.14,Y,10
27,62000,RENT,4.0,DEBTCONSOLIDATION,A,16000,7.88,0,0.26,N,10
37,85000,MORTGAGE,2.0,VENTURE,A,5600,5.42,0,0.07,N,13
23,45286,RENT,5.0,PERSONAL,A,8000,7.29,0,0.18,N,4
32,29500,MORTGAGE,4.0,EDUCATION,B,7000,10.0,1,0.24,N,7
32,42000,OWN,15.0,MEDICAL,B,1800,10.2,0,0.04,N,9
29,30000,RENT,,VENTURE,E,10200,17.99,1,0.34,Y,10
24,19200,RENT,2.0,DEBTCONSOLIDATION,B,5000,,1,0.26,N,3
23,80000,RENT,4.0,PERSONAL,A,6475,6.99,1,0.08,N,3
22,60000,RENT,0.0,PERSONAL,A,24000,7.29,1,0.4,N,3
28,113000,RENT,9.0,DEBTCONSOLIDATION,C,19975,13.92,1,0.18,N,9
26,26400,RENT,6.0,MEDICAL,C,6000,6.0,0,0.23,N,4
23,47000,RENT,5.0,VENTURE,B,16500,10.62,1,0.35,N,3
23,42000,RENT,4.0,EDUCATION,C,12000,13.49,0,0.29,N,2
33,53000,RENT,6.0,HOMEIMPROVEMENT,C,6700,13.49,0,0.13,N,6
31,48000,RENT,5.0,EDUCATION,B,11200,,0,0.23,N,5
23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0.24,N,4
24,47000,RENT,0.0,MEDICAL,B,1450,10.74,0,0.03,N,4
22,45000,MORTGAGE,5.0,MEDICAL,B,6500,10.65,0,0.14,N,4
35,50000,RENT,1.0,EDUCATION,A,3000,7.88,0,0.06,N,8
22,23000,RENT,6.0,MEDICAL,C,4850,14.27,0,0.21,Y,3
21,24000,RENT,5.0,EDUCATION,B,5000,,0,0.21,N,4
24,37500,MORTGAGE,2.0,DEBTCONSOLIDATION,A,5600,8.94,0,0.15,N,4
27,65000,RENT,2.0,HOMEIMPROVEMENT,A,4000,5.99,0,0.06,N,5
25,110000,RENT,8.0,HOMEIMPROVEMENT,C,12000,12.23,0,0.11,Y,2
38,30000,RENT,0.0,PERSONAL,D,15000,14.61,1,0.5,Y,15
29,63600,RENT,5.0,DEBTCONSOLIDATION,B,12000,12.42,1,0.19,N,8
37,80000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,13000,6.62,0,0.16,N,16
23,50000,RENT,0.0,DEBTCONSOLIDATION,B,5000,10.25,0,0.1,N,2
29,58800,MORTGAGE,7.0,DEBTCONSOLIDATION,B,5000,11.71,1,0.09,N,6
29,32000,RENT,6.0,MEDICAL,C,10800,13.57,1,0.34,N,5
22,58650,MORTGAGE,5.0,MEDICAL,D,9250,15.21,1,0.13,N,4
26,73008,MORTGAGE,4.0,DEBTCONSOLIDATION,E,15000,15.68,1,0.21,Y,3
24,33396,RENT,3.0,PERSONAL,D,2800,16.0,1,0.08,N,3
43,68000,OWN,9.0,EDUCATION,A,5000,6.99,0,0.07,N,15
32,65000,MORTGAGE,16.0,DEBTCONSOLIDATION,A,5500,7.51,0,0.08,N,7
39,150000,MORTGAGE,9.0,MEDICAL,A,30000,8.9,0,0.2,N,11
31,200000,MORTGAGE,1.0,MEDICAL,B,7800,9.63,0,0.04,N,5
22,50000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,12000,7.9,0,0.24,N,4
22,74500,MORTGAGE,6.0,VENTURE,C,8000,15.96,0,0.11,N,3
24,55000,RENT,2.0,VENTURE,E,20000,18.64,1,0.36,N,2
27,60000,RENT,2.0,VENTURE,B,9200,12.42,0,0.15,N,7
22,25000,RENT,0.0,DEBTCONSOLIDATION,B,4000,10.36,0,0.16,N,2
24,70000,RENT,5.0,HOMEIMPROVEMENT,B,21500,9.99,1,0.31,N,3
28,191250,MORTGAGE,11.0,MEDICAL,E,9000,16.95,1,0.04,N,6
30,63000,RENT,9.0,PERSONAL,C,20000,13.92,1,0.32,Y,9
22,50000,RENT,3.0,DEBTCONSOLIDATION,B,6000,10.25,0,0.12,N,3
22,51996,OWN,6.0,VENTURE,C,8400,12.98,0,0.16,Y,4
24,19000,OWN,3.0,MEDICAL,C,7400,13.85,1,0.39,N,2
25,59004,RENT,1.0,VENTURE,D,15000,15.58,1,0.25,N,2
24,113217,MORTGAGE,2.0,EDUCATION,A,6000,7.88,0,0.05,N,3
24,110000,MORTGAGE,7.0,PERSONAL,A,12000,8.94,0,0.11,N,3
27,113000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6425,6.03,0,0.06,N,7
24,43995,RENT,,PERSONAL,C,7400,13.99,1,0.17,Y,4
24,55000,RENT,8.0,MEDICAL,B,16800,,1,0.31,N,4
26,80000,RENT,0.0,VENTURE,C,9000,13.16,0,0.11,Y,2
32,25000,RENT,0.0,PERSONAL,C,3000,13.48,0,0.12,Y,6
24,64000,MORTGAGE,8.0,PERSONAL,A,14500,5.42,1,0.23,N,2
23,29952,MORTGAGE,1.0,DEBTCONSOLIDATION,D,4750,14.46,1,0.16,Y,4
24,123000,MORTGAGE,8.0,DEBTCONSOLIDATION,C,24250,12.87,1,0.2,Y,4
27,77976,RENT,2.0,VENTURE,C,10000,13.85,1,0.13,Y,5
26,51000,MORTGAGE,5.0,MEDICAL,D,7000,15.21,1,0.14,N,4
25,47000,RENT,1.0,DEBTCONSOLIDATION,A,9000,7.51,0,0.19,N,3
32,34000,RENT,0.0,EDUCATION,B,7500,10.01,1,0.22,N,5
30,35000,MORTGAGE,14.0,MEDICAL,A,2000,5.42,0,0.06,N,9
34,135000,MORTGAGE,2.0,MEDICAL,A,15000,5.42,0,0.11,N,6
22,30000,RENT,7.0,VENTURE,B,10000,11.14,1,0.33,N,2
23,85000,RENT,2.0,VENTURE,C,12000,13.16,0,0.14,Y,2
49,56100,MORTGAGE,11.0,MEDICAL,B,15000,,1,0.23,N,13
42,47000,RENT,2.0,MEDICAL,B,25000,12.18,1,0.53,N,15
32,60000,RENT,5.0,VENTURE,B,18800,9.99,1,0.31,N,7
25,110000,MORTGAGE,9.0,PERSONAL,A,20000,7.88,0,0.18,N,2
34,45600,RENT,,PERSONAL,B,23500,11.36,1,0.52,N,9
29,17676,RENT,3.0,EDUCATION,C,5000,13.11,1,0.28,Y,10
29,120000,RENT,3.0,DEBTCONSOLIDATION,A,15000,9.63,0,0.13,N,6
22,36000,RENT,6.0,VENTURE,B,12000,11.49,1,0.33,N,2
27,48000,RENT,2.0,PERSONAL,C,25000,10.59,1,0.52,N,7
44,88000,RENT,8.0,EDUCATION,B,8000,10.38,0,0.09,N,11
27,238000,RENT,11.0,HOMEIMPROVEMENT,D,12000,17.27,1,0.05,N,7
23,54000,RENT,7.0,EDUCATION,B,4500,,1,0.08,N,2
24,92000,RENT,8.0,MEDICAL,B,24500,11.46,0,0.27,N,4
25,106000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,6.54,0,0.11,N,2
23,83000,RENT,7.0,DEBTCONSOLIDATION,C,20000,,1,0.24,N,2
32,348000,MORTGAGE,16.0,PERSONAL,B,25000,11.83,0,0.07,N,10
30,59497,MORTGAGE,4.0,MEDICAL,D,17000,16.89,1,0.24,N,8
31,54996,RENT,5.0,PERSONAL,A,5000,8.0,0,0.09,N,9
28,53000,MORTGAGE,12.0,EDUCATION,A,5000,7.14,1,0.09,N,10
24,54000,RENT,2.0,VENTURE,E,12500,14.5,1,0.23,N,4
24,53184,MORTGAGE,8.0,PERSONAL,B,13500,10.99,0,0.25,N,4
34,120000,MORTGAGE,2.0,EDUCATION,B,4200,12.69,0,0.04,N,6
51,58000,RENT,2.0,MEDICAL,E,1500,19.03,1,0.03,Y,22
37,89000,MORTGAGE,3.0,EDUCATION,A,5000,6.91,0,0.06,N,15
24,32000,RENT,4.0,HOMEIMPROVEMENT,B,12800,12.42,1,0.4,N,3
29,38004,RENT,3.0,MEDICAL,C,1500,14.35,0,0.04,Y,10
40,108000,OWN,,PERSONAL,A,3500,,0,0.03,N,15
26,156000,MORTGAGE,6.0,VENTURE,C,9600,14.27,0,0.06,Y,2
29,72000,MORTGAGE,12.0,DEBTCONSOLIDATION,D,12000,15.62,1,0.17,Y,9
25,57700,RENT,2.0,MEDICAL,D,10600,14.91,1,0.18,Y,4
22,71000,RENT,6.0,EDUCATION,A,1500,6.99,0,0.02,N,3
28,92000,RENT,4.0,DEBTCONSOLIDATION,A,15000,7.9,0,0.16,N,9
28,64000,MORTGAGE,3.0,MEDICAL,C,5000,13.23,0,0.08,N,6
26,44000,RENT,4.0,HOMEIMPROVEMENT,G,12500,22.11,1,0.28,Y,2
29,40000,OTHER,2.0,DEBTCONSOLIDATION,E,15000,16.63,1,0.38,Y,10
26,140000,RENT,5.0,VENTURE,B,8400,12.53,0,0.06,N,2
35,27996,RENT,14.0,MEDICAL,B,8500,11.58,0,0.3,N,6
22,46000,RENT,0.0,DEBTCONSOLIDATION,B,9600,10.99,0,0.21,N,4
22,18000,RENT,0.0,MEDICAL,C,3000,13.99,1,0.17,Y,4
25,54000,OWN,9.0,EDUCATION,C,15000,,0,0.28,Y,4
26,120000,MORTGAGE,0.0,EDUCATION,A,6000,,0,0.05,N,2
27,54000,MORTGAGE,,DEBTCONSOLIDATION,A,2000,7.14,0,0.04,N,9
23,28000,RENT,0.0,EDUCATION,A,6000,9.63,0,0.21,N,4
26,75000,MORTGAGE,9.0,EDUCATION,C,4000,12.99,0,0.05,N,2
31,201996,MORTGAGE,11.0,EDUCATION,C,20000,,0,0.1,N,10
35,80004,RENT,5.0,EDUCATION,A,10000,7.51,0,0.12,N,10
31,48000,RENT,12.0,DEBTCONSOLIDATION,D,15000,15.21,1,0.31,Y,5
24,39000,RENT,2.0,DEBTCONSOLIDATION,D,4000,,1,0.1,Y,4
22,33300,RENT,0.0,DEBTCONSOLIDATION,B,13250,,1,0.4,N,4
35,19200,RENT,0.0,VENTURE,A,3500,9.32,1,0.18,N,6
29,62050,MORTGAGE,13.0,MEDICAL,E,3600,17.99,1,0.05,N,9
29,73000,MORTGAGE,6.0,EDUCATION,D,21000,13.36,1,0.29,Y,7
38,95000,OWN,6.0,VENTURE,E,14000,17.74,0,0.15,Y,17
24,21600,RENT,,EDUCATION,B,10000,9.91,1,0.46,N,3
26,5500,RENT,0.0,EDUCATION,A,1000,9.63,1,0.18,N,3
27,63844,MORTGAGE,11.0,DEBTCONSOLIDATION,A,20000,6.54,0,0.31,N,10
23,76896,MORTGAGE,8.0,EDUCATION,B,25000,11.71,0,0.33,N,2
26,37500,RENT,6.0,DEBTCONSOLIDATION,C,13250,13.49,1,0.35,Y,3
23,72000,RENT,5.0,DEBTCONSOLIDATION,D,3000,16.89,1,0.04,Y,4
21,19800,OWN,4.0,HOMEIMPROVEMENT,D,6800,14.59,1,0.34,N,2
31,45000,MORTGAGE,12.0,DEBTCONSOLIDATION,C,12250,14.27,0,0.27,Y,10
22,18996,RENT,3.0,PERSONAL,D,3200,15.28,1,0.17,N,2
25,122000,MORTGAGE,1.0,PERSONAL,C,35000,13.8,0,0.29,Y,3
25,50000,RENT,10.0,DEBTCONSOLIDATION,A,20000,7.49,1,0.4,N,3
30,54400,MORTGAGE,3.0,MEDICAL,A,23500,6.91,1,0.37,N,7
22,30000,RENT,1.0,EDUCATION,B,12000,10.99,1,0.4,N,3
24,65000,RENT,1.0,MEDICAL,A,4000,5.42,0,0.06,N,2
28,20000,RENT,2.0,HOMEIMPROVEMENT,C,4000,13.11,1,0.2,N,6
24,110000,OWN,0.0,HOMEIMPROVEMENT,C,10000,13.35,0,0.09,Y,2
28,20000,RENT,5.0,DEBTCONSOLIDATION,B,4000,10.99,0,0.2,N,9
23,70522,RENT,7.0,MEDICAL,C,9325,10.91,0,0.13,Y,3
26,46800,MORTGAGE,0.0,MEDICAL,C,5000,12.87,1,0.11,N,4
24,7800,RENT,1.0,EDUCATION,B,1000,11.36,0,0.13,N,4
32,66725,RENT,4.0,MEDICAL,B,15000,,1,0.19,N,5
23,108000,RENT,7.0,DEBTCONSOLIDATION,B,10000,,1,0.09,N,3
26,51000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,12000,7.29,0,0.24,N,4
23,26000,RENT,3.0,MEDICAL,A,4500,8.49,1,0.17,N,2
23,60000,RENT,2.0,DEBTCONSOLIDATION,A,5000,,0,0.08,N,3
21,44000,RENT,0.0,PERSONAL,D,5500,15.28,1,0.13,N,3
31,51500,RENT,6.0,HOMEIMPROVEMENT,D,19000,14.83,1,0.37,N,10
25,30000,RENT,2.0,DEBTCONSOLIDATION,E,5200,17.19,1,0.17,N,4
22,26500,RENT,3.0,DEBTCONSOLIDATION,A,1900,7.29,1,0.07,N,3
28,75000,RENT,5.0,VENTURE,D,23850,16.29,1,0.32,N,10
29,62000,RENT,13.0,DEBTCONSOLIDATION,C,9000,,0,0.15,N,7
22,70000,RENT,3.0,EDUCATION,B,22000,11.36,1,0.31,N,4
25,125000,RENT,0.0,VENTURE,A,15000,,0,0.12,N,3
24,52000,RENT,1.0,MEDICAL,A,7000,7.74,0,0.13,N,4
29,30000,RENT,1.0,HOMEIMPROVEMENT,E,6000,17.99,1,0.2,N,7
22,52880,RENT,6.0,MEDICAL,D,5000,14.59,1,0.09,N,4
28,66000,RENT,0.0,VENTURE,C,7500,11.28,1,0.11,Y,7
25,36960,RENT,8.0,DEBTCONSOLIDATION,D,12500,14.61,1,0.34,Y,4
34,55000,RENT,5.0,EDUCATION,A,4050,,0,0.07,N,9
23,58000,RENT,1.0,MEDICAL,B,12800,12.42,0,0.22,N,2
21,36450,RENT,0.0,EDUCATION,A,6000,8.63,0,0.16,N,3
41,26400,MORTGAGE,1.0,PERSONAL,D,10300,16.29,1,0.39,Y,14
22,60000,RENT,2.0,EDUCATION,B,8000,10.0,0,0.13,N,4
24,42000,RENT,0.0,MEDICAL,A,12000,7.66,0,0.29,N,2
23,65000,MORTGAGE,5.0,EDUCATION,B,4000,11.49,0,0.06,N,4
36,35000,OWN,1.0,VENTURE,B,6000,11.49,0,0.17,N,13
25,67200,MORTGAGE,6.0,HOMEIMPROVEMENT,B,3250,11.49,0,0.05,N,2
22,14400,RENT,0.0,EDUCATION,A,4500,7.88,1,0.31,N,4
36,21996,RENT,3.0,PERSONAL,D,2400,14.11,0,0.11,N,11
25,115000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,19000,13.49,0,0.17,N,4
23,30000,RENT,7.0,EDUCATION,B,3600,9.7,0,0.12,N,3
24,37876,RENT,4.0,MEDICAL,B,8000,9.63,0,0.21,N,2
23,14400,RENT,0.0,VENTURE,B,4000,10.74,1,0.28,N,3
22,34992,RENT,1.0,PERSONAL,B,5000,,0,0.14,N,3
26,30000,RENT,1.0,PERSONAL,E,7500,14.75,1,0.25,N,3
30,50000,MORTGAGE,12.0,DEBTCONSOLIDATION,C,8000,13.06,0,0.16,Y,5
23,48000,RENT,4.0,EDUCATION,C,1600,13.98,0,0.03,N,3
29,44000,RENT,1.0,EDUCATION,D,4000,12.36,1,0.09,Y,8
34,18000,RENT,0.0,MEDICAL,B,1500,11.48,1,0.08,N,6
22,48000,RENT,7.0,VENTURE,B,20000,10.65,1,0.42,N,3
31,18996,OWN,6.0,HOMEIMPROVEMENT,C,7000,,1,0.37,N,8
25,25000,RENT,4.0,DEBTCONSOLIDATION,B,8500,11.26,1,0.34,N,2
21,21600,RENT,0.0,MEDICAL,B,2000,11.71,1,0.09,N,4
39,60520,RENT,6.0,MEDICAL,D,6000,15.33,1,0.08,Y,15
23,84554,MORTGAGE,3.0,DEBTCONSOLIDATION,A,3600,6.03,0,0.04,N,2
38,23868,MORTGAGE,0.0,HOMEIMPROVEMENT,B,7750,12.53,1,0.32,N,14
37,78000,MORTGAGE,0.0,PERSONAL,B,5600,10.74,1,0.07,N,12
23,57000,RENT,0.0,EDUCATION,D,11050,14.74,1,0.19,N,4
28,58000,RENT,5.0,HOMEIMPROVEMENT,D,19000,14.09,1,0.33,N,8
27,18000,RENT,0.0,DEBTCONSOLIDATION,A,6000,7.49,1,0.33,N,5
22,79200,MORTGAGE,6.0,VENTURE,B,4750,10.25,0,0.06,N,3
27,85500,RENT,1.0,HOMEIMPROVEMENT,D,11000,15.99,1,0.13,Y,5
24,16800,RENT,3.0,MEDICAL,C,2400,13.98,1,0.14,Y,4
26,33000,RENT,1.0,VENTURE,D,6000,14.84,1,0.18,N,2
23,88000,RENT,4.0,HOMEIMPROVEMENT,A,4000,7.14,1,0.05,N,4
27,61500,MORTGAGE,3.0,HOMEIMPROVEMENT,B,6000,10.99,0,0.1,N,7
34,28500,RENT,0.0,EDUCATION,B,9175,12.69,1,0.32,N,5
44,61000,RENT,7.0,DEBTCONSOLIDATION,D,10000,14.11,1,0.16,Y,12
25,54000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,12.53,1,0.22,N,4
31,139016,RENT,5.0,VENTURE,D,25000,15.37,1,0.18,Y,8
34,65000,MORTGAGE,8.0,VENTURE,B,13750,,0,0.21,N,5
26,42000,MORTGAGE,4.0,MEDICAL,B,15000,11.26,0,0.36,N,4
35,54996,RENT,1.0,VENTURE,B,3000,12.21,0,0.05,N,5
34,54000,RENT,2.0,HOMEIMPROVEMENT,D,15000,14.11,1,0.28,Y,7
24,60000,RENT,2.0,VENTURE,A,7200,8.49,0,0.12,N,2
32,120000,MORTGAGE,7.0,PERSONAL,D,28250,16.77,0,0.24,Y,9
28,28320,RENT,4.0,VENTURE,D,8700,14.61,1,0.31,N,10
31,34000,RENT,0.0,MEDICAL,C,12000,13.16,1,0.35,Y,9
37,15000,OWN,0.0,VENTURE,A,5000,7.74,1,0.33,N,13
28,34000,RENT,1.0,VENTURE,C,5000,14.26,1,0.15,Y,9
28,86400,MORTGAGE,0.0,EDUCATION,A,5000,5.79,0,0.06,N,5
21,12000,RENT,,MEDICAL,B,2500,11.99,1,0.21,N,4
22,21996,RENT,6.0,DEBTCONSOLIDATION,C,2400,12.53,0,0.11,N,4
23,24000,RENT,1.0,VENTURE,B,14075,,1,0.59,N,4
24,45000,RENT,8.0,MEDICAL,B,4000,11.83,0,0.09,N,2
26,19200,OTHER,0.0,PERSONAL,C,7500,11.97,1,0.39,Y,2
26,44000,MORTGAGE,7.0,PERSONAL,E,10000,17.14,0,0.23,N,4
30,150000,RENT,14.0,DEBTCONSOLIDATION,A,12000,7.29,0,0.08,N,7
22,37000,MORTGAGE,6.0,EDUCATION,B,7500,10.95,0,0.2,N,2
32,117000,RENT,0.0,PERSONAL,E,12000,17.93,1,0.1,Y,10
23,48500,RENT,0.0,DEBTCONSOLIDATION,B,4500,12.21,0,0.09,N,4
23,48500,RENT,5.0,MEDICAL,A,3850,8.49,0,0.08,N,2
29,244800,RENT,8.0,MEDICAL,D,8000,14.09,1,0.03,N,5
37,45000,RENT,0.0,DEBTCONSOLIDATION,A,8000,9.63,0,0.18,N,14
29,33600,RENT,0.0,PERSONAL,D,9600,15.99,1,0.29,Y,7
23,12000,RENT,2.0,PERSONAL,B,3075,10.37,1,0.26,N,2
24,100000,MORTGAGE,8.0,MEDICAL,A,5625,6.99,0,0.06,N,4
26,35000,RENT,3.0,MEDICAL,B,1800,11.36,0,0.05,N,3
32,93158,RENT,16.0,HOMEIMPROVEMENT,D,7800,16.29,0,0.08,N,6
28,71000,RENT,0.0,HOMEIMPROVEMENT,D,3200,14.61,1,0.05,Y,5
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4
23,72000,MORTGAGE,0.0,PERSONAL,B,5000,11.86,0,0.07,N,2
43,142500,MORTGAGE,7.0,MEDICAL,B,20000,11.49,0,0.14,N,15
